experiment_id,timestamp,hypothesis,validation_version,blocking_config,feature_config,model,model_params,decision_rule,threshold,candidate_recall,precision,recall,macro_f0.5,singleton_accuracy,avg_candidates,runtime,notes,data_provenance
B0_empty,2026-09-25T06:49:59Z,All-empty abstention floor,split_v1,union:exact+prefix+token+num+tfidf_char,,empty,,global_threshold,,1.0,,0.0,0.35,1.0,60.0,0.00019788742065429688,,synthetic_dev_fixture_v2
B1_exact_norm,2026-09-25T06:49:59Z,Normalized exact name+address/country,split_v1,none_full_scan_exact_index,name_legal+addr_norm,exact_normalized,,global_threshold,,1.0,1.0,0.4387755102040816,0.685,1.0,60.0,0.023770570755004883,,synthetic_dev_fixture_v2
B2_exact_on_candidates,2026-09-25T06:49:59Z,Exact normalized restricted to retrieval candidates,split_v1,union:exact+prefix+token+num+tfidf_char,name_legal+addr_norm,exact_on_candidates,,global_threshold,,1.0,1.0,0.4387755102040816,0.685,1.0,60.0,0.021842241287231445,,synthetic_dev_fixture_v2
M0_weighted,2026-09-25T06:49:59Z,Deterministic weighted string similarities on candidates,split_v1,union:exact+prefix+token+num+tfidf_char,"name_exact,addr_exact,name_jaro,name_ratio,name_token_sort,name_token_set,name_partial,name_jaccard,name_contain_ab,name_contain_ba,addr_jaro,addr_ratio,addr_token_sort,addr_jaccard,num_overlap,num_conflict,country_equal,country_missing,name_missing,addr_missing,name_len_diff,addr_len_diff,retrieval_score,retrieval_rank,name_addr_agree",weighted_similarity,,global_threshold_on_weighted_score,0.875,1.0,0.9736842105263158,0.7551020408163265,0.8705555555555555,1.0,60.0,0.06467819213867188,,synthetic_dev_fixture_v2
M1_logistic,2026-09-25T06:49:59Z,Logistic regression on interpretable pair features; hard negatives from blockers,split_v1,union:exact+prefix+token+num+tfidf_char,"name_exact,addr_exact,name_jaro,name_ratio,name_token_sort,name_token_set,name_partial,name_jaccard,name_contain_ab,name_contain_ba,addr_jaro,addr_ratio,addr_token_sort,addr_jaccard,num_overlap,num_conflict,country_equal,country_missing,name_missing,addr_missing,name_len_diff,addr_len_diff,retrieval_score,retrieval_rank,name_addr_agree",logistic_regression,sklearn LogisticRegression class_weight=balanced,global_threshold,0.5,1.0,0.9245283018867925,1.0,0.9766666666666667,0.9714285714285714,60.0,0.062055110931396484,,synthetic_dev_fixture_v2
M2_lightgbm,2026-09-25T06:49:59Z,LightGBM on same features/hard negatives; threshold max macro F0.5,split_v1,union:exact+prefix+token+num+tfidf_char,"name_exact,addr_exact,name_jaro,name_ratio,name_token_sort,name_token_set,name_partial,name_jaccard,name_contain_ab,name_contain_ba,addr_jaro,addr_ratio,addr_token_sort,addr_jaccard,num_overlap,num_conflict,country_equal,country_missing,name_missing,addr_missing,name_len_diff,addr_len_diff,retrieval_score,retrieval_rank,name_addr_agree",lightgbm,LGBMClassifier n_estimators=120 lr=0.08,global_threshold,0.5,1.0,1.0,0.9897959183673469,0.9983333333333333,1.0,60.0,0.20234918594360352,,synthetic_dev_fixture_v2
